source_repo,source_branch,source_tree_sha,source_path,source_blob_sha,source_size,target_repo,target_path,migration_action,status
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/app/(payload)/layout.tsx","8df141aeb2b24c724bd389b53ade6ceb98451751","810","Sas-Executar/next-forge","apps/admin/src/app/(payload)/layout.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/blocks/Callout.ts","10e4ec9cff84a238677fccdea46bcb25e7c2369f","974","Sas-Executar/next-forge","apps/admin/src/blocks/Callout.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/collections/Media.ts","568cf42657fc499daaa0c6936ac046ab44e93463","255","Sas-Executar/next-forge","apps/admin/src/collections/Media.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/collections/Posts.ts","5a16207898c4a0760bd815615d96d0a025ad8bb8","2303","Sas-Executar/next-forge","apps/admin/src/collections/Posts.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/collections/Users.ts","c683d0e2d58aba7a4c22a6739c9a31e80ead164b","244","Sas-Executar/next-forge","apps/admin/src/collections/Users.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/payload-types.ts","8a1e411ec10392f490e2983da1ea5e0a45751244","10058","Sas-Executar/next-forge","apps/admin/src/payload-types.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/payload.config.ts","681d206a0627ef31421824d8bcede2c39be876c7","1599","Sas-Executar/next-forge","apps/admin/src/payload.config.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/seed.ts","2b3e39e09b7735a9f6156878740713e39bd2faf9","8679","Sas-Executar/next-forge","apps/admin/src/seed.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/tsconfig.json","2bb00aabd0cc52c7b065e30503d42eaca111c8f7","792","Sas-Executar/next-forge","apps/admin/tsconfig.json","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/.gitignore","8df8f577c67b58260047e81b93c53f2835438838","100","Sas-Executar/next-forge","apps/app/.gitignore","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/README.md","87ab992146026c72725f84a98f3622b49a7015c3","6540","Sas-Executar/next-forge","apps/app/README.md","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/app.json","49de12dce39276609bd48f2b4697dda8864077ab","296","Sas-Executar/next-forge","apps/app/app.json","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/app/_layout.tsx","5533ce3382bd3db612b7109c7401ea7e760804ad","446","Sas-Executar/next-forge","apps/app/app/_layout.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/app/index.tsx","32017a01a45ace084efd2f377e19cdde695e8b77","2144","Sas-Executar/next-forge","apps/app/app/index.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/babel.config.js","e1e3637afdf18539e541c2a3c59373493ac6a36f","105","Sas-Executar/next-forge","apps/app/babel.config.js","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/expo-env.d.ts","e6394b247e71f08454a02a1ef1f42bbd0d945d35","37","Sas-Executar/next-forge","apps/app/expo-env.d.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/package.json","c6611ec9888cd0ef8f37665a7fd7206a6797f057","1310","Sas-Executar/next-forge","apps/app/package.json","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/src/components/Button.tsx","85e699850df4b7645b4dd4b243cb2d6cbe51456e","2521","Sas-Executar/next-forge","apps/app/src/components/Button.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/src/components/Callout.tsx","b8ab8b5e04e7dbe503d361fdff24d0a8aad2e426","1981","Sas-Executar/next-forge","apps/app/src/components/Callout.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/src/components/Card.tsx","0b7bcacc79710e9d24627ec687eec9ecb7c58432","674","Sas-Executar/next-forge","apps/app/src/components/Card.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/src/rnStyle.ts","874be73079c349551c702d48530e2d803a6765d5","1082","Sas-Executar/next-forge","apps/app/src/rnStyle.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/tamagui.config.ts","2c411aa21ea720476d096b65a1be76225939d40d","3115","Sas-Executar/next-forge","apps/app/tamagui.config.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/app/tsconfig.json","ec96c84d1ee05de80fcd39457c5fb4ad0942f320","210","Sas-Executar/next-forge","apps/app/tsconfig.json","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/.env.example","078d897ebbef387aa40cc819f31d9d6e4b2d6b88","34","Sas-Executar/next-forge","apps/blog/.env.example","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/README.md","051232f9dc35e5957ff9cb3f73751a511ebcd79b","6176","Sas-Executar/next-forge","apps/blog/README.md","REFERENCE","RECONCILIATION_REQUIRED"
